sectionID,section,subsection,description,category,cwe_ids,nist_refs,pci_refs,hyperlink
KAFKA-AUTH-001,SASL Authentication,SASL/SCRAM Configuration,"Enable SASL/SCRAM-SHA-256 or SASL/SCRAM-SHA-512 for client authentication. Configure sasl.mechanism and sasl.jaas.config on brokers and clients.",Authentication,"287,306","IA-2,IA-5",8.2,https://kafka.apache.org/documentation/#security_sasl_scram
KAFKA-AUTH-002,SASL Authentication,SASL/GSSAPI (Kerberos),"Implement Kerberos authentication for enterprise environments. Requires KDC setup and proper principal management.",Authentication,"287,306","IA-2,IA-5",8.2,https://kafka.apache.org/documentation/#security_sasl_kerberos
KAFKA-AUTH-003,SASL Authentication,SASL/OAUTHBEARER,"Use OAuth 2.0 bearer tokens for authentication. Integrates with external identity providers (Okta, Azure AD, Keycloak).",Authentication,"287,306,522","IA-2,IA-5,IA-8",8.2,https://kafka.apache.org/documentation/#security_sasl_oauthbearer
KAFKA-AUTH-004,SASL Authentication,SASL/PLAIN Avoidance,"Avoid SASL/PLAIN in production without TLS as the mechanism provides no credential protection beyond base64 encoding. ALWAYS pair with TLS (SASL_SSL protocol). Prefer SCRAM-SHA-256/512 which provide challenge-response authentication with salted password hashing.",Authentication,"319,522","IA-5,SC-8",8.2,https://kafka.apache.org/documentation/#security_sasl_plain
KAFKA-AUTH-005,mTLS Authentication,Client Certificate Authentication,"Implement mutual TLS where clients present certificates signed by a trusted CA. Configure ssl.client.auth=required on brokers.",Authentication,"287,295,297","IA-2,IA-5,SC-17",8.2,https://kafka.apache.org/documentation/#security_ssl
KAFKA-AUTH-006,Credential Management,SCRAM Credential Rotation,"Implement regular rotation of SCRAM credentials using kafka-configs.sh. Store credentials securely in secret management systems.",Authentication,"798,522","IA-5",8.2,https://kafka.apache.org/documentation/#security_sasl_scram_credentials
KAFKA-AUTH-007,Credential Management,Certificate Rotation,"Implement automated certificate rotation before expiry. Use short-lived certificates where possible. Kafka 2.5+ supports dynamic keystore/truststore updates without restart.",Authentication,"324","IA-5,SC-12",4.1,https://kafka.apache.org/documentation/#security_ssl
KAFKA-AUTH-008,Inter-Broker Authentication,SASL Inter-Broker,"Configure SASL for inter-broker communication using security.inter.broker.protocol=SASL_SSL and sasl.mechanism.inter.broker.protocol.",Authentication,"287,306","IA-2,IA-5",8.2,https://kafka.apache.org/documentation/#security_sasl
KAFKA-AUTH-009,SASL Authentication,SASL Mechanism Allowlist,"Restrict enabled SASL mechanisms using sasl.enabled.mechanisms and listener.name.<listener>.sasl.enabled.mechanisms to only required mechanisms.",Authentication,"287,306","IA-2,IA-5",8.2,https://kafka.apache.org/documentation/#security_sasl
KAFKA-AUTH-010,mTLS Authentication,Principal Mapping Rules,"Configure ssl.principal.mapping.rules to map certificate DNs to canonical principals and prevent ambiguous identity mapping.",Authentication,"287,295","IA-2",8.2,https://kafka.apache.org/documentation/#security_ssl
